genus	mean.weight
Thiobacillus	0.026063509200504383
UBA7748	0.025844446575118057
Aeromonas	0.02558221519609596
Phil1	0.025034762341282633
Solibaculum	0.024360799480604125
Tidjanibacter	0.025041507290206988
Shinella	0.024678174002616838
UBA737	0.023553364052824315
Intestinibacter	0.023539474753132502
Treponema	0.02351358391871488
Acidovorax	0.024154649035131155
Christensenella	0.02255240701815945
UMGS1375	0.02290630706956797
Amedibacillus	0.02322225337383871
Massiliomicrobiota	0.02287071759680481
UBA6382	0.022286737619975842
UBA6448	0.0223880552624413
Oscillibacter	0.022717835148982003
Massilimaliae	0.02174791972261283
UBA3402	0.021413002715319984
UBA1394	0.02150328125858723
UBA1227	0.01990592599312491
Choladousia	0.02089652103780894
Acutalibacter	0.02210973515357628
Peptacetobacter	0.020749109677365197
CAG-582	0.021034917758336196
RUG13077	0.0203452050194316
UBA7597	0.0204783118639335
Pauljensenia	0.019659837715131856
UMGS882	0.01993687152128884
Soleaferrea	0.019848346516278516
Microbispora	0.01961771433860102
UBA11452	0.018896245191071314
VUNA01	0.01922941312124948
Fenollaria	0.019757422270195973
Actinomyces	0.01917335776219378
Anaeroglobus	0.018959572540226392
Faecalicoccus	0.01879021222507812
CAG-605	0.018864924925594863
AG11	0.019350161928066666
Zoogloea	0.018770793866543924
Pseudoruminococcus_A	0.01842338225236059
UBA9506	0.017864663115443172
CAG-269	0.01818211613732562
Lactiplantibacillus	0.018066131782299787
UBA11471	0.018058297305828006
BX12	0.017808683303438794
Olegusella	0.018007900807769622
Sphingobacterium	0.017364729953033054
Synergistes	0.017743670540351184
PeH17	0.016596876122515303
Hungatella_A	0.01677291753395828
Exiguobacterium_A	0.016685448876386427
CAG-345	0.0153508289232736
Blastococcus	0.016141256890233914
Alistipes_A	0.015021206572199849
Haemophilus	0.01476660764143768
Salmonella	0.014659801287128597
UBA2882	0.014471296431921995
Fermentimonas	0.013613793488803788
Copromonas	0.014727722449912644
Enterococcus_C	0.013927743021844831
Flavipsychrobacter	0.013926571567121663
Streptomyces	0.01443829563083465
51-20	0.013714490755748175
Cloacibacillus	0.013955820217195975
UBA6984	0.013701485666209294
SFTJ01	0.0135692450376768
Helicobacter	0.013557234953198964
CAG-488	0.012432395619180525
Marvinbryantia	0.012784870156061156
Berryella	0.01272576633994358
Haemophilus_A	0.01187672304739253
UBA4720	0.012707073833430393
Ralstonia	0.011456684590431249
Dokdonella_A	0.011876776699798771
Lentilactobacillus	0.011531105725977656
UBA11524	0.010991144580323608
Rhabdaerophilum	0.011349837447460013
UBA1829	0.011535744464106955
Tractidigestivibacter	0.010791212462704272
UBA10281	0.011054439788373161
Gp1-AA122	0.010059188881645646
Lachnoclostridium_A	0.010485935548188788
Z2-YC6860	0.012105730275818656
Limisoma	0.01042958984551114
Weissella	0.010291108709598856
Ventrimonas	0.010084421067058287
Pseudomonas	0.009448105128870718
Ruminococcus_C	0.009330763696397468
Pyramidobacter	0.009190331252052852
MD308	0.009312547019041918
CAG-288	0.008135556739903052
Companilactobacillus	0.007721614725290818
DP-1	0.007872115722900806
Gordonibacter	0.007901863827149982
HOT-345	0.007634517908249627
Alterileibacterium	0.006899663839607412
Pedobacter	0.0063523106953562326
CAG-1024	0.005784488750397557
UBA5189	0.006830730730984991
CAG-307	0.005514764391445919
Merdimorpha	0.0057197478880387995
UBA1774	0.005125592360681949
UBA7405	0.0050198726779139965
Halomonas	0.004780464115429545
Parasutterella	0.0048747599330297925
Micrococcus	0.004609284721651011
Citrobacter_B	0.0047418125362095635
UMGS1322	0.004965421177600651
Saccharimonas	0.004931458533303275
Enterocloster	0.004097445761461953
SFJ001	0.004360351094309034
Ventrisoma	0.003841126244754075
Baileyella	0.003377360174015552
Peptoniphilus_B	0.003242840562337343
Olsenella	0.003570894926296665
Sneathia	0.003056234254302534
Levyella	0.002841405975387986
Kosakonia	0.0031448452370424866
Cryptobacteroides	0.0034484739028926535
Traorella	0.003267390012742156
CAG-313	0.002785317747664838
Peptoniphilus_A	0.0028927792155453236
Shuttleworthia	0.0021148943758134728
Peptoanaerobacter	0.0013311408206643897
Ruminococcus_G	-1.1626089734215833e-4
Deinococcus	6.053243536009661e-4
Morganella	1.879304277505251e-4
Egerieisoma	1.2083642057223977e-4
Barb7	-8.578959991713961e-4
Thauera	-4.644744639498356e-4
Lacisediminihabitans	-7.759542703403735e-4
CAG-267	-9.58289411914121e-4
Raoultibacter	-0.0017243321934243038
Pseudobutyrivibrio	-0.0012606201692597135
Anaerotignum	-0.001207857731542043
Anaerobutyricum	-0.002179299072330271
JABCPH02	-0.0017405669080742894
Alistipes	-0.0015539575354856386
Synechocystis	-0.0023485329389078993
Dubosiella	-0.0021914933852286507
UBA1685	-0.0013884389497564212
Mobiluncus	-0.002476019862832971
Thermophilibacter	-0.002217224324419915
Leptotrichia_A	-0.0026051245180761344
Duncaniella	-0.0028959141000681594
Extibacter	-0.002398578491819864
Mogibacterium	-0.003303447853514342
UBA9414	-0.004172987833653886
Butyricicoccus	-0.0036815713566753245
Harryflintia	-0.003793999362366572
Rikenella	-0.0044148072693996065
