feature	SRR15511253	SRR15511254	SRR15511255	SRR15511256	SRR15511257	SRR15511258	SRR15511259	SRR15511260	SRR15511261	SRR15511262	SRR15511263	SRR15511264	SRR15511265	SRR15511266	SRR15511267	SRR15511268	SRR15511269	SRR15511270	SRR15511271	SRR15511272	SRR15511273	SRR15511274	SRR15511275	SRR15511276	SRR15511277	SRR15511278	SRR15511279	SRR15511280	SRR15511281	SRR15511282	SRR15511283	SRR15511284	SRR15511285	SRR15511286	SRR15511287
ko:K00754	173.7497	57.78542	60.63728	59.59345	193.56462	88.28939	51.71004	64.12889	44.2023	140.40021	68.41946	85.371	38.51511	301.21905	905.44186	28.46172	187.65289	311.95488	239.20642	120.68891	155.87799	581.00613	96.87544	72.1452	73.78149	31.75252	502.63266	476.45887	53.24273	69.6273	44.36669	48.48627	142.47277	157.00482	129.16076
ko:K00756	824.54156	532.39378	408.14678	215.55197	385.75438	685.51045	911.37294	790.14691	670.39056	169.30626	721.91508	172.76242	618.03705	398.81337	801.55718	41.1213	212.9488	280.02413	163.07744	591.2896	710.48535	474.85472	333.0922	262.884	177.26709	248.64884	234.47415	568.04807	486.78859	554.06176	479.14919	456.87241	314.45531	191.29195	368.92488
ko:K00757	602.21443	655.5461	739.33309	1089.72576	1232.86587	837.65788	2029.18162	1799.16641	465.47004	787.63703	911.92526	415.96881	831.78128	1252.48853	1488.03506	233.21797	1089.10185	1689.30289	899.72025	1325.75738	1197.7059	1571.4412	872.37298	510.7311	501.99558	947.4606	1008.91613	962.74246	1096.18104	856.24556	1041.48115	703.7508	530.06018	954.4868	848.9563
ko:K00758	639.32618	429.2495	298.28487	125.36225	313.56053	555.24504	850.21191	605.15742	416.67695	134.91206	747.0853	149.02606	514.08129	304.1844	684.00942	40.66974	198.63246	328.27355	131.47582	588.79916	682.44265	417.59421	295.60039	319.70597	140.32822	240.01911	204.04142	520.4929	417.93802	458.62874	325.57245	370.35003	187.32639	155.61656	243.96244
ko:K00759	1173.15038	926.48492	831.56352	1382.5827	1357.97772	1015.75808	2594.116	2196.75618	911.19737	877.87631	1224.36449	697.38806	1273.64445	1012.9587	1847.52237	300.09595	1569.056	1438.69084	1061.53648	1410.90245	1266.97267	1715.50119	1092.41179	641.23536	635.55463	1712.93089	1088.18174	1391.21776	1346.71267	1309.4824	1279.74732	1102.69854	645.51887	1035.46398	915.04082
ko:K00760	1331.84846	1006.392	1038.84285	1322.07397	1362.98213	1124.1555	2563.62065	2073.02892	894.88042	860.86584	1493.02365	708.9432	1266.5465	1396.27401	1976.43245	296.14217	1635.60191	2035.55427	1051.99552	1486.64897	1396.46166	2027.82772	1169.65282	768.05222	618.84438	1384.31746	1273.00403	1838.53907	1383.33825	1232.15523	1358.36888	1055.5676	787.08733	1161.0347	1029.21605
ko:K00761	1592.15236	1031.08732	1187.04148	1785.74345	1684.07872	1508.68928	3308.05975	2866.55874	1249.89379	952.35061	1547.95444	603.31129	1583.54368	1658.79921	2262.59359	383.0421	1901.92658	2452.41094	1175.79518	1982.36219	1764.5024	2236.11396	1087.38012	846.44707	666.55853	1393.76467	1383.12743	1773.34891	1538.01834	1588.73812	1597.75375	1506.1377	742.70775	1178.03508	1256.31013
ko:K00762	1627.88643	1268.59721	1101.75539	1597.27862	1956.69548	1696.31299	3528.46357	2331.38268	859.43731	1143.22347	1908.43971	809.57713	1908.80726	1784.77972	2638.01718	265.24078	1538.63007	2103.01705	1172.15058	2182.57514	1896.16761	2421.8854	1697.53804	961.8381	757.67737	1472.21845	1420.15496	1950.04717	1965.99101	1743.89519	1834.95533	1548.07924	961.8575	1239.47667	1397.65793
ko:K00763	2030.0698	1085.95899	1035.98454	846.74362	1592.68367	1704.89861	2247.14716	1947.50747	1016.02857	690.10167	1880.19794	691.45019	1937.4523	1495.14105	1867.61797	110.62934	714.25824	1611.83926	931.23791	1720.52151	1693.16338	2072.32517	1473.92518	795.27124	531.45099	810.89613	941.81446	1999.57349	1512.8956	1286.05108	1334.87021	1070.56107	892.47419	1099.6252	1175.74372
ko:K00764	2922.45537	2400.11345	2116.21865	4692.96155	3433.45946	2168.84014	7432.39726	5804.46492	1821.65401	2964.27394	3815.00284	1753.44919	3043.6533	3621.09024	5635.41156	1037.78608	5972.87727	5822.81798	3404.67305	4247.73394	3796.34513	5331.64247	2907.5384	1377.05722	1746.16237	4089.48433	4031.95922	4179.22258	3036.25598	3339.64365	3752.09358	3632.53045	1452.42039	2686.82153	2542.02893
